Timestamp,Username,VideoID,Comment,Date,type
2025-09-10T09:51:51Z,@Prayashrai002,V8dcmc9NPEc,Literally everthing was predicted by lord sacar,2025-09-10T09:52:06Z,comment
2025-09-10T18:22:42Z,@YamrajXettry,V8dcmc9NPEc,Who is here after Gen Z protest,2025-09-10T18:22:42Z,comment
2025-09-08T00:28:14Z,@HariBelbase-iu4wm,V8dcmc9NPEc,Dream come true finally today sacar dai❤😂,2025-09-08T00:28:14Z,comment
2021-04-18T05:09:31Z,@aayush_paudel07,V8dcmc9NPEc,prachanda feeling scared with 99 others 😂,2021-04-18T05:09:31Z,comment
2025-09-10T17:29:01Z,@Soyangilam,V8dcmc9NPEc,Who is in 2025 😅?,2025-09-10T17:29:01Z,comment
2025-09-08T07:48:10Z,@knightofenigma,V8dcmc9NPEc,Sacar saw the future,2025-09-08T07:48:10Z,comment
2022-05-02T12:23:41Z,@novenchera328,V8dcmc9NPEc,"los,t of love bro i am from arunachal pradesh 🇳🇵",2022-05-02T12:23:41Z,comment
2024-11-07T15:11:12Z,@Za_Nock,V8dcmc9NPEc,Anyone 2025  🤣,2025-02-04T12:52:53Z,comment
2024-11-08T16:38:41Z,@sohanpaudel1,V8dcmc9NPEc,Here I am bro😂,2024-11-08T16:38:41Z,reply
2024-11-22T11:51:11Z,@ABERAI0129,V8dcmc9NPEc,Me,2024-11-22T11:51:11Z,reply
2024-12-31T17:02:54Z,@salizaniroula603,V8dcmc9NPEc,"Anyone 2025 , Jan 😅",2024-12-31T17:02:54Z,reply
2025-01-31T06:51:41Z,@DRaaz7,V8dcmc9NPEc,"Here in Sydney, watching it again and figuring out why he went insane, crazy world here",2025-01-31T06:51:41Z,reply
2025-06-13T17:48:29Z,@SUBASHSHRESTHA765,V8dcmc9NPEc,Haha,2025-06-13T17:48:29Z,reply
2025-07-18T16:24:28Z,@SaurabSonam,V8dcmc9NPEc,Yes,2025-07-18T16:24:28Z,reply
2025-09-09T11:57:35Z,@Anishffx,V8dcmc9NPEc,Bro was too real that time but noone appreciated 😂❤️,2025-09-09T11:57:35Z,comment
2022-06-04T04:51:11Z,@Monarchshahoffical38465,V8dcmc9NPEc,Scar LLL best up best❤️🦋🥀,2022-06-04T04:51:11Z,comment
2025-06-18T19:15:21Z,@BinodZung-r9k,V8dcmc9NPEc,Old is gold☠️,2025-06-18T19:15:21Z,comment
2021-09-14T17:03:55Z,@sunilg.chettri8350,V8dcmc9NPEc,Physco killer dope rapper,2021-09-14T17:03:55Z,comment
2023-07-20T12:27:40Z,@khanalvlog-z5d,V8dcmc9NPEc,Miss you lil buddha,2023-07-20T12:27:40Z,comment
2022-03-25T07:40:52Z,@kalemahato9231,V8dcmc9NPEc,Saccar is legend,2022-03-25T07:40:52Z,comment
2025-09-20T12:13:25Z,@diwashkhadka1923,V8dcmc9NPEc,Bro saw the future when gen z were playing guchhhaaa 😂,2025-09-20T12:13:25Z,comment
2024-10-11T02:34:54Z,@AryanNepal-cy3dy,V8dcmc9NPEc,He is legend ❤,2024-10-11T02:34:54Z,comment
2022-05-27T20:09:37Z,@coverrapsflowsien-ki-o6204,V8dcmc9NPEc,The Legend Lil Buddha....!!! When he cuss he looks damn cool. Keep up the good work brother...,2022-05-27T20:09:37Z,comment
2024-07-08T09:20:57Z,@Anks3,V8dcmc9NPEc,I always watch this vdo when I feel low 😭😂,2024-07-08T09:20:57Z,comment
2025-03-28T07:25:08Z,@ShishirThapa-zg6jm,V8dcmc9NPEc,This video never gets old 😂,2025-03-28T07:25:08Z,comment
2025-06-18T18:17:36Z,@parbatlimbu234,V8dcmc9NPEc,Anyone 2025???,2025-06-18T18:17:49Z,comment
2025-09-10T14:29:03Z,@tobden_sonaam,V8dcmc9NPEc,Bro is time Traveller,2025-09-10T14:29:03Z,comment
2025-10-22T15:28:43Z,@Sammy-Shorts-YT,V8dcmc9NPEc,Anyone after gen z protest 😂😂😂,2025-10-22T15:28:43Z,comment
2023-12-18T05:07:29Z,@SamirDhani-k8f,V8dcmc9NPEc,Big fan buddha dada ❤❤❤,2023-12-18T05:07:29Z,comment
2025-09-10T20:43:54Z,@SumitArtist-n1u,V8dcmc9NPEc,Imagine him participating in yesterday’s gen z protest💀,2025-09-10T20:43:54Z,comment
2022-05-30T05:06:40Z,@philiprai1035,V8dcmc9NPEc,Big fan🔥Sacarr Di❤️❤️,2022-05-30T05:06:40Z,comment
2025-06-28T05:51:20Z,@RabinKhadka-g6w,V8dcmc9NPEc,anyone in 2025😅😅,2025-06-28T05:51:20Z,comment
2024-04-27T10:22:24Z,@Pawanxc,V8dcmc9NPEc,His words Works for Therapy,2024-04-27T10:22:24Z,comment
2025-08-22T17:01:22Z,@GoksYT-u5o,V8dcmc9NPEc,Anyone Aug 2025,2025-08-22T17:01:22Z,comment
2025-07-23T11:27:20Z,@SamirAcharya-y2g8d,V8dcmc9NPEc,Love u bro😂💞,2025-07-23T11:27:20Z,comment
2021-09-20T11:21:45Z,@nikhilgunner8644,V8dcmc9NPEc,Bhai let's go am with u...,2021-09-20T11:21:45Z,comment
2025-09-09T03:47:52Z,@Harshika-jz7rn,V8dcmc9NPEc,Bro knew it all this time!,2025-09-09T03:47:52Z,comment
2025-08-05T07:13:51Z,@GodEmperor888,V8dcmc9NPEc,Anyone August 2025,2025-08-05T07:13:51Z,comment
2024-01-26T19:00:43Z,@ranjitsunar4753,V8dcmc9NPEc,Sacar love ❤️❤️,2024-01-26T19:00:43Z,comment
2025-09-08T16:17:25Z,@abdn33,V8dcmc9NPEc,You were right 😢,2025-09-08T16:17:25Z,comment
2025-11-26T15:12:11Z,@sunitachettri6655,V8dcmc9NPEc,2025 watching 😂,2025-11-26T15:12:11Z,comment
2024-02-12T15:33:15Z,@ajayacharya3931,V8dcmc9NPEc,Good old days,2024-02-12T15:33:15Z,comment
2021-08-20T16:22:19Z,@ajiv7446,V8dcmc9NPEc,I am proud of u buddha,2021-08-20T16:22:19Z,comment
2025-06-26T08:27:36Z,@JbKarki-d7n,V8dcmc9NPEc,Any from 2070 ???,2025-06-26T08:27:36Z,comment
2025-04-11T05:10:52Z,@Mrnirajan-d6l,V8dcmc9NPEc,Me watching this video just for my own things😅😂,2025-04-11T05:10:52Z,comment
2022-07-09T05:11:07Z,@AshishBudha123,V8dcmc9NPEc,Imagine Nepali in Australia 😂😂😂,2022-07-09T05:11:07Z,comment
2025-01-07T03:33:31Z,@sauravdhakal5198,V8dcmc9NPEc,The opening though 😂😂😂,2025-01-07T03:33:31Z,comment
2022-03-09T10:41:58Z,@avek1127,V8dcmc9NPEc,Jaba jaba malai hasna man lagx moh sacar ko live video herxu😂,2022-03-09T10:41:58Z,comment
2021-08-01T13:31:14Z,@sanamshrestha8296,V8dcmc9NPEc,Dami Bro full support,2021-08-01T13:31:14Z,comment
2025-09-08T17:56:12Z,@lyamfey8906,V8dcmc9NPEc,bro knew it,2025-09-08T17:56:12Z,comment
2025-08-22T15:01:27Z,@saksham_965,V8dcmc9NPEc,Still vibing in 2025 😂,2025-08-22T15:01:27Z,comment
2024-10-22T16:39:05Z,@LokeshAdhikari-ir7eb,V8dcmc9NPEc,Respect for sacar 😢😊,2024-10-22T16:39:05Z,comment
2025-09-01T11:17:42Z,@SushantSinghPB7,V8dcmc9NPEc,2025 any here😂😂,2025-09-01T11:17:42Z,comment
2025-09-09T14:28:39Z,@mevsme2004,V8dcmc9NPEc,LU HAI KING OF NEPHOP 🔥,2025-09-09T14:28:39Z,comment
2025-10-06T10:22:01Z,@SayanShrestha-d7g,V8dcmc9NPEc,Bro coming in 2017 we are watching after zen-z protest,2025-10-06T10:22:01Z,comment
2022-05-10T20:29:43Z,@ridersurajchetry0.237,V8dcmc9NPEc,all right bro 🔥🔥🔥,2022-05-10T20:29:43Z,comment
2021-01-06T07:22:20Z,@sujanbudhathoki6515,V8dcmc9NPEc,Good job bro,2021-01-06T07:22:20Z,comment
2025-10-29T15:05:22Z,@Rka104,V8dcmc9NPEc,Anyone today 😅,2025-10-29T15:05:22Z,comment
2025-07-09T15:39:07Z,@anshuchaulagain-o6g,V8dcmc9NPEc,"who is here ,2025",2025-07-09T15:39:07Z,comment
2022-06-17T12:34:42Z,@ganeshbudhathoki5783,V8dcmc9NPEc,Miss you dada 💓💓💓😘😘,2022-06-17T12:34:42Z,comment
2023-05-08T17:09:10Z,@akashthakuri-wt5oh,V8dcmc9NPEc,Yama buddha lejend ❣️,2023-05-08T17:09:10Z,comment
2025-07-06T18:36:51Z,@BestOfcric-q7k,V8dcmc9NPEc,Still watching this 😆,2025-07-06T18:36:51Z,comment
2021-12-05T13:13:10Z,@gopalbloging9920,V8dcmc9NPEc,Legend 🥃🥃,2021-12-05T13:13:10Z,comment
2025-09-08T15:09:48Z,@subinrai660,V8dcmc9NPEc,Bro time is over😢,2025-09-08T15:09:48Z,comment
2025-12-05T15:29:16Z,@Dg-rd2uj,V8dcmc9NPEc,"FUNFACT-Sacar has said (MACHICKN##),3,029 times in this video alone",2025-12-05T15:31:21Z,comment
2025-06-21T15:15:11Z,@anujchetri4157,V8dcmc9NPEc,2025 still 🔥🔥🔥,2025-06-21T15:15:11Z,comment
2025-09-14T19:07:14Z,@krislift_07,V8dcmc9NPEc,After genz ✊protest,2025-09-14T19:07:14Z,comment
2025-06-27T09:49:14Z,@TapeshSharama,V8dcmc9NPEc,"Anyone,2025😅😅",2025-06-27T09:49:14Z,comment
2025-04-11T21:43:43Z,@sdhouse7723,V8dcmc9NPEc,2025 anyone😂😂😂😂😂 @sacar 🔥🔥🔥,2025-04-11T21:43:43Z,comment
2025-09-25T13:38:28Z,@Bishnu656,V8dcmc9NPEc,Sai ho lil Buddha 🎉,2025-09-25T13:38:28Z,comment
2024-05-06T17:53:01Z,@susk85,V8dcmc9NPEc,2024 and still dope,2024-05-06T17:53:01Z,comment
2022-02-06T05:06:26Z,@hkb211,V8dcmc9NPEc,"Maa chikna maa chikna 
Maa chikna maa chikna
🤣🤣🤣🤣🤣🤣🤣🤣🤣",2022-02-06T05:06:26Z,comment
2023-12-19T00:23:07Z,@RameshRokaya-d7q,V8dcmc9NPEc,Legend🎉,2023-12-19T00:23:07Z,comment
2025-09-14T06:32:21Z,@aryanregmi6252,V8dcmc9NPEc,"simson×
Sacar ✓",2025-09-14T06:32:21Z,comment
2025-08-03T20:02:31Z,@xunarkishan3231,V8dcmc9NPEc,Any one 2025 😅😂😊😊,2025-08-03T20:02:31Z,comment
2024-12-14T15:57:09Z,@Prakash-y6k1y,V8dcmc9NPEc,Missing that old videos😂😂😂❤,2024-12-14T15:57:09Z,comment
2022-06-07T16:50:22Z,@ganeshbhattrai1217,V8dcmc9NPEc,legend,2022-06-07T16:50:22Z,comment
2025-07-05T22:54:01Z,@sumanbhatta2003,V8dcmc9NPEc,Still watching in 2025???,2025-07-05T22:54:01Z,comment
2025-03-22T18:00:54Z,@RyokenOva,V8dcmc9NPEc,real motivating,2025-03-22T18:00:54Z,comment
2025-02-19T11:17:52Z,@yubrajkhanal5643,V8dcmc9NPEc,Anyone 2025😂😂😂,2025-02-19T11:17:52Z,comment
2022-02-05T16:38:56Z,@akabuddha1820,V8dcmc9NPEc,My idol 😂❤️,2022-02-05T16:38:56Z,comment
2024-05-14T17:18:15Z,@SHRESTHA-b111,V8dcmc9NPEc,Any one  in 2024 may 14th 🇳🇵🕉️🙏,2024-05-14T17:18:15Z,comment
2025-07-10T16:45:17Z,@nitenlama6410,V8dcmc9NPEc,Anyone 2025??😂,2025-07-10T16:45:17Z,comment
2023-12-26T14:27:17Z,@santosgiri9735,V8dcmc9NPEc,Legend,2023-12-26T14:27:17Z,comment
2025-11-21T17:04:25Z,@MinaGurung-gy4zv,V8dcmc9NPEc,Bro words ware true,2025-11-21T17:04:25Z,comment
2024-07-23T04:45:19Z,@bikrantgajmer8549,V8dcmc9NPEc,2024 and still this is dope😂😂😂😅😅😅😅katta handiney ho guysss😅😅😅😅😅😂😂😂😂😂😂😂,2024-07-23T04:45:19Z,comment
2025-01-11T13:14:44Z,@Noll_241x,V8dcmc9NPEc,Any one watch in 2025 😂,2025-01-11T13:14:44Z,comment
2025-02-27T23:39:59Z,@crazygamer6597,V8dcmc9NPEc,Anyone 2025 🎉😂,2025-02-27T23:39:59Z,comment
2021-04-12T17:29:28Z,@bikrammishra1098,V8dcmc9NPEc,Handinu.. 🤘,2021-04-12T17:29:28Z,comment
2022-03-30T02:56:58Z,@vishalthapa6292,V8dcmc9NPEc,I love u sacar daii machikne prachande,2022-03-30T02:56:58Z,comment
2023-05-07T04:28:44Z,@thegamer_nepal_10k,V8dcmc9NPEc,sacar was funny 😂😂😂,2023-05-07T04:28:44Z,comment
2024-09-13T18:16:01Z,@akauliyabrother1887,V8dcmc9NPEc,He was daam right about politics and nation discard about the words he uses,2024-09-13T18:16:01Z,comment
2021-06-14T05:05:57Z,@firefirelovers7497,V8dcmc9NPEc,dami lago yrr bro,2021-06-14T05:05:57Z,comment
2025-01-22T15:33:47Z,@Avii_vlogss,V8dcmc9NPEc,Anyone 2025,2025-01-22T15:33:47Z,comment
2022-07-02T18:08:52Z,@nabinbhandari418,V8dcmc9NPEc,Dami Dai love you from mahadev,2022-07-02T18:08:52Z,comment
2022-02-25T14:51:36Z,@_akhil_27,V8dcmc9NPEc,Legend manchey,2022-02-25T14:51:36Z,comment
2025-10-26T14:16:02Z,@AyushChhetri-o1x,V8dcmc9NPEc,Anyone from 2025🤟🖤🍻,2025-10-26T14:16:02Z,comment
2025-03-01T15:08:03Z,@MilonKarki-gp8dg,V8dcmc9NPEc,Any one 2025,2025-03-01T15:08:03Z,comment
2025-01-04T14:28:59Z,@WhyyouAngry-l8t,V8dcmc9NPEc,Anyone 2025 ?,2025-01-04T14:28:59Z,comment
2022-03-03T05:30:16Z,@nishanchaudhary6807,V8dcmc9NPEc,Ok let's go!,2022-03-03T05:30:16Z,comment
2025-06-05T07:02:29Z,@mingsohang2453,V8dcmc9NPEc,Stress buster 🤣,2025-06-05T07:02:29Z,comment
2025-02-08T07:58:07Z,@bidurlamsal2857,V8dcmc9NPEc,Sacar don❤,2025-02-08T07:58:07Z,comment
2024-10-15T12:29:49Z,@rip_indraHY2Z,V8dcmc9NPEc,I agree you bro,2024-10-15T12:29:49Z,comment
2025-07-10T14:01:27Z,@your.Trademarkk,V8dcmc9NPEc,nostalgic,2025-07-10T14:01:27Z,comment
2025-09-09T02:35:48Z,@sudipstha4332,V8dcmc9NPEc,Socrates of our time,2025-09-09T02:35:48Z,comment
2022-06-05T12:54:44Z,@pricnceking1519,V8dcmc9NPEc,Kada xaa bro....,2022-06-05T12:54:44Z,comment
2025-02-12T15:01:46Z,@prembhattbhatt-n1r,V8dcmc9NPEc,Aayone 2025 😂😂,2025-02-12T15:01:46Z,comment
2025-09-09T12:38:01Z,@kushalpoudyal8137,V8dcmc9NPEc,bishalbazar ma ago lagyo,2025-09-09T12:38:01Z,comment
2023-09-11T14:39:32Z,@motivation12806,V8dcmc9NPEc,Sahi yrrr❤❤❤,2023-09-11T14:39:31Z,comment
2022-02-20T04:29:19Z,@kamaltamang6355,V8dcmc9NPEc,Big fan,2022-02-20T04:29:19Z,comment
2025-11-16T14:44:21Z,@AkashRawat-e6j,V8dcmc9NPEc,😂😂,2025-11-16T14:44:21Z,comment
